Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
the-dragon,THE DRAGON,<p>Ryū. The dragon coils upward — neon scale, ink shadow, breath of cold light.</p>,Hollow Ronin,Shirts,"drop-001,shirt",TRUE,Size,S,HR-DRAGON-BLK-S,,continue,manual,38.00,TRUE,TRUE,https://hollowronin.com/mockups/tee-dragon-red-sun-back-black.png,THE DRAGON — back design,active
the-dragon,,,,,,,Size,M,HR-DRAGON-BLK-M,,continue,manual,38.00,TRUE,TRUE,,,
the-dragon,,,,,,,Size,L,HR-DRAGON-BLK-L,,continue,manual,38.00,TRUE,TRUE,,,
the-dragon,,,,,,,Size,XL,HR-DRAGON-BLK-XL,,continue,manual,38.00,TRUE,TRUE,,,
the-fox,THE FOX,<p>Kitsune. Nine-tailed silhouette drifting through the long grass between worlds.</p>,Hollow Ronin,Shirts,"drop-001,shirt",TRUE,Size,S,HR-FOX-BLK-S,,continue,manual,38.00,TRUE,TRUE,https://hollowronin.com/mockups/tee-kitsune-nine-tails-back-black.png,THE FOX — back design,active
the-fox,,,,,,,Size,M,HR-FOX-BLK-M,,continue,manual,38.00,TRUE,TRUE,,,
the-fox,,,,,,,Size,L,HR-FOX-BLK-L,,continue,manual,38.00,TRUE,TRUE,,,
the-fox,,,,,,,Size,XL,HR-FOX-BLK-XL,,continue,manual,38.00,TRUE,TRUE,,,
the-fox-white,THE FOX (White),<p>Kitsune. Nine-tailed silhouette drifting through the long grass between worlds.</p>,Hollow Ronin,Shirts,"drop-001,shirt",TRUE,Size,S,HR-FOX-WHT-S,,continue,manual,38.00,TRUE,TRUE,https://hollowronin.com/mockups/tee-kitsune-nine-tails-back-white.png,THE FOX (White) — back design,active
the-fox-white,,,,,,,Size,M,HR-FOX-WHT-M,,continue,manual,38.00,TRUE,TRUE,,,
the-fox-white,,,,,,,Size,L,HR-FOX-WHT-L,,continue,manual,38.00,TRUE,TRUE,,,
the-fox-white,,,,,,,Size,XL,HR-FOX-WHT-XL,,continue,manual,38.00,TRUE,TRUE,,,
the-ghost,THE GHOST,<p>Tengu. Crow-warrior of the mountain — black feathers, longer memory.</p>,Hollow Ronin,Shirts,"drop-001,shirt",TRUE,Size,S,HR-GHOST-WHT-S,,continue,manual,38.00,TRUE,TRUE,https://hollowronin.com/mockups/tee-crow-warrior-ghost-back-white.png,THE GHOST — back design,active
the-ghost,,,,,,,Size,M,HR-GHOST-WHT-M,,continue,manual,38.00,TRUE,TRUE,,,
the-ghost,,,,,,,Size,L,HR-GHOST-WHT-L,,continue,manual,38.00,TRUE,TRUE,,,
the-ghost,,,,,,,Size,XL,HR-GHOST-WHT-XL,,continue,manual,38.00,TRUE,TRUE,,,
the-ghost-black,THE GHOST (Black),<p>Tengu. Crow-warrior of the mountain — black feathers, longer memory.</p>,Hollow Ronin,Shirts,"drop-001,shirt",TRUE,Size,S,HR-GHOST-BLK-S,,continue,manual,38.00,TRUE,TRUE,https://hollowronin.com/mockups/tee-crow-warrior-ghost-back-black-model4.png,THE GHOST (Black) — back design,active
the-ghost-black,,,,,,,Size,M,HR-GHOST-BLK-M,,continue,manual,38.00,TRUE,TRUE,,,
the-ghost-black,,,,,,,Size,L,HR-GHOST-BLK-L,,continue,manual,38.00,TRUE,TRUE,,,
the-ghost-black,,,,,,,Size,XL,HR-GHOST-BLK-XL,,continue,manual,38.00,TRUE,TRUE,,,
the-sentinel,THE SENTINEL,<p>The crow stands sentry above the pass. The mountain remembers.</p>,Hollow Ronin,Shirts,"drop-001,shirt",TRUE,Size,S,HR-SENTINEL-WHT-S,,continue,manual,38.00,TRUE,TRUE,https://hollowronin.com/mockups/tee-crow-warrior-bloodmoon-dark-back-white-model4.png,THE SENTINEL — back design,active
the-sentinel,,,,,,,Size,M,HR-SENTINEL-WHT-M,,continue,manual,38.00,TRUE,TRUE,,,
the-sentinel,,,,,,,Size,L,HR-SENTINEL-WHT-L,,continue,manual,38.00,TRUE,TRUE,,,
the-sentinel,,,,,,,Size,XL,HR-SENTINEL-WHT-XL,,continue,manual,38.00,TRUE,TRUE,,,
the-sentinel-black,THE SENTINEL (Black),<p>The crow stands sentry above the pass. The mountain remembers.</p>,Hollow Ronin,Shirts,"drop-001,shirt",TRUE,Size,S,HR-SENTINEL-BLK-S,,continue,manual,38.00,TRUE,TRUE,https://hollowronin.com/mockups/tee-crow-warrior-bloodmoon-dark-back-black.png,THE SENTINEL (Black) — back design,active
the-sentinel-black,,,,,,,Size,M,HR-SENTINEL-BLK-M,,continue,manual,38.00,TRUE,TRUE,,,
the-sentinel-black,,,,,,,Size,L,HR-SENTINEL-BLK-L,,continue,manual,38.00,TRUE,TRUE,,,
the-sentinel-black,,,,,,,Size,XL,HR-SENTINEL-BLK-XL,,continue,manual,38.00,TRUE,TRUE,,,
the-stormbringer,THE STORMBRINGER,<p>When his wings open, the sky turns to a colder shade of black.</p>,Hollow Ronin,Shirts,"drop-001,shirt",TRUE,Size,S,HR-STORM-BLK-S,,continue,manual,38.00,TRUE,TRUE,https://hollowronin.com/mockups/tee-crow-samurai-aerial-back-black.png,THE STORMBRINGER — back design,active
the-stormbringer,,,,,,,Size,M,HR-STORM-BLK-M,,continue,manual,38.00,TRUE,TRUE,,,
the-stormbringer,,,,,,,Size,L,HR-STORM-BLK-L,,continue,manual,38.00,TRUE,TRUE,,,
the-stormbringer,,,,,,,Size,XL,HR-STORM-BLK-XL,,continue,manual,38.00,TRUE,TRUE,,,
the-reaper,THE REAPER,<p>The shadow tengu walks where the light dares not — the final judgment.</p>,Hollow Ronin,Shirts,"drop-001,shirt",TRUE,Size,S,HR-REAPER-BLK-S,,continue,manual,38.00,TRUE,TRUE,https://hollowronin.com/mockups/tee-cyberpunk-ninja-neon-back-black.png,THE REAPER — back design,active
the-reaper,,,,,,,Size,M,HR-REAPER-BLK-M,,continue,manual,38.00,TRUE,TRUE,,,
the-reaper,,,,,,,Size,L,HR-REAPER-BLK-L,,continue,manual,38.00,TRUE,TRUE,,,
the-reaper,,,,,,,Size,XL,HR-REAPER-BLK-XL,,continue,manual,38.00,TRUE,TRUE,,,
